id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,track_id,popularity
0,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",pop,moody,0.472,131.121,0.238,0.714,0.013,3nqQXoyQOWXiESFLlDF1hG,100
1,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",hip-hop,energetic,0.782,128.033,0.55,0.621,0.0125,2tTmW7RDtMQtBk7m2rYeSw,99
2,La Bachata,Manuel Turizo,latin,happy,0.679,124.98,0.85,0.835,0.583,5ww2BF9slyYgNOk37BlC4u,98
3,I'm Good (Blue),"David Guetta, Bebe Rexha",pop,intense,0.965,128.04,0.304,0.561,0.00383,4uUG5RXrOk84mYEfFvj3cK,98
4,Me Porto Bonito,"Bad Bunny, Chencho Corleone",reggae,intense,0.712,92.005,0.425,0.911,0.0901,6Sq7ltF9Qa7SNFBsV5Cogx,97
5,Tití Me Preguntó,Bad Bunny,reggae,intense,0.715,106.672,0.187,0.65,0.0993,1IHWl5LamUGEuP4ozKQSXZ,97
6,Efecto,Bad Bunny,latin,moody,0.475,98.047,0.234,0.801,0.141,5Eax0qFko2dh7Rl2lYs3bx,96
7,I Ain't Worried,OneRepublic,rock,energetic,0.797,139.994,0.825,0.704,0.0826,4h9wh7iOZ0GGn8QVp4RAOB,96
8,Under The Influence,Chris Brown,electronic,moody,0.69,116.992,0.31,0.733,0.0635,5IgjP7X4th6nMNDh4akUHb,96
9,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",latin,moody,0.686,79.928,0.268,0.647,0.08,3k3NWokhRRkEPhCzPmV8TW,95
10,As It Was,Harry Styles,pop,energetic,0.731,173.93,0.662,0.52,0.342,4LRPiXqCikLlN15c3yImP7,95
11,Moscow Mule,Bad Bunny,latin,moody,0.674,99.968,0.292,0.804,0.294,6Xom58OOXk2SoU711L2IXO,94
12,Glimpse of Us,Joji,pop,moody,0.317,169.914,0.268,0.44,0.891,6xGruZOHLs39ZbVccQTuPZ,94
13,Another Love,Tom Odell,ambient,moody,0.537,122.769,0.131,0.445,0.695,3JvKfv6T31zO0ini8iNItO,93
14,Neverita,Bad Bunny,reggae,moody,0.498,122.016,0.428,0.876,0.0706,31i56LZnwE6uSu3exoHjtB,93
